,system_id,time,instantaneous_power_W,temperature_C,voltage,latitude,longitude,alnid,alnip,aluvd,aluvp,bld,blh,cape,cbh,cdir,cp,crr,csf,d2m,deg0l,dndza,dndzn,dwi,fdir,hcc,ie,ilspf,ishf,kx,lcc,lsf,lsp,lsrr,mcc,pev,ptype,skt,slhf,sp,ssr,ssrc,ssrd,ssrdc,str,strc,strd,strdc,t2m,tcc,tciw,tclw,tcwv,tisr,totalx,tp,tsr,tsrc,ttr,ttrc,u10,u100,u10n,uvb,v10,v100,wind
12,894,2022-01-01 12:15:00,1204.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,894,2022-01-01 11:30:00,1304.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,894,2022-01-01 13:45:00,696.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,894,2022-01-01 08:15:00,12.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,894,2022-01-01 09:45:00,64.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,894,2022-01-01 14:45:00,236.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,894,2022-01-01 10:30:00,68.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,894,2022-01-01 15:00:00,104.0,,,46.0,11.0,0.14600924,0.14140372,0.038597524,0.03709641,3459.125,15.102539,0.0,,267984.88,0.0,2.3283064e-10,0.0,272.4775,2756.0,0.4592154,0.7407115,,267160.38,0.2389178,8.205825e-07,0.0,6.7976685,-10.965815,0.0,0.0,-9.313226e-10,0.0,0.0,-6.0151797e-07,0.0,271.64398,2208.75,90034.99,285873.5,266614.62,415443.12,422086.12,-294498.03,-310997.1,858431.25,861869.2,278.62003,0.2389178,0.00033771992,-1.1920929e-07,5.355976,755609.6,31.895937,0.0,495968.25,476918.12,-866557.6,-874923.4,0.096569896,-0.635131,0.030436516,40604.906,-1.020091,-1.643206,
20,894,2022-01-01 16:00:00,28.0,,,46.0,11.0,0.14600924,0.14138438,0.038597524,0.03709641,3169.625,12.601807,0.0,,24059.0,0.0,2.3283064e-10,0.0,272.7638,2756.0933,0.41892812,0.72334886,,23668.25,0.09561595,1.0675722e-06,0.0,7.648468,-11.307148,0.0,0.0,-9.313226e-10,0.0,0.0,3.5502599e-06,0.0,268.92227,7735.875,90034.14,35826.875,31758.75,52094.0,53265.0,-236195.12,-253491.03,846593.9,850390.9,278.15253,0.09561595,0.00025326014,-1.1920929e-07,5.1720886,129251.0,31.652487,0.0,82033.25,78111.5,-843468.44,-852372.3,0.1219306,-0.72325265,0.03677845,6234.2812,-0.7984566,-1.2538608,
21,894,2022-01-01 14:15:00,532.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,894,2022-01-01 15:45:00,36.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,894,2022-01-01 09:00:00,64.0,,,46.0,11.0,0.14609808,0.14148113,0.03858331,0.037082195,8980.375,13.650635,0.0,,389242.0,0.0,2.3283064e-10,0.0,268.84286,2722.5017,0.34550005,0.6001758,,387966.12,0.0,-4.040019e-06,0.0,0.01159668,-9.195944,0.0,0.0,-9.313226e-10,0.0,0.0,-4.214549e-05,0.0,272.86514,-31662.375,90078.6,375502.38,356812.0,569106.6,576000.9,-214114.56,-206199.6,846663.25,842731.2,271.54916,0.0,0.0,-1.1920929e-07,5.8077507,964061.75,31.785097,0.0,629142.9,610145.6,-845276.0,-841810.0,0.07754934,-0.3753438,0.15093195,55526.188,-1.1270871,-2.109826,
24,894,2022-01-01 14:30:00,396.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,894,2022-01-01 14:00:00,604.0,,,46.0,11.0,0.14602898,0.1414134,0.038597524,0.03709641,3521.1875,21.475342,0.0,,613086.6,0.0,2.3283064e-10,0.0,273.8451,2723.2483,0.46973878,0.7221232,,600332.75,0.72403216,3.547757e-08,0.0,4.204773,-10.793884,0.0,0.0,-9.313226e-10,0.0,0.0,-3.077992e-05,0.0,275.8209,-13734.75,90029.01,564766.9,535371.0,825580.25,842394.5,-339631.28,-345402.06,868673.4,869349.2,277.54807,0.72403216,0.0027577877,-1.1920929e-07,5.5148926,1298525.8,32.297726,0.0,879898.4,847254.1,-881870.8,-887995.94,0.1853323,-0.37648833,0.058521986,81693.8,-1.3449001,-1.794783,
26,894,2022-01-01 10:00:00,60.0,,,46.0,11.0,0.14608821,0.14146179,0.03858331,0.037082195,7139.9375,21.313965,0.0,,717983.6,0.0,2.3283064e-10,0.0,270.91187,2723.3416,0.39709604,0.6700351,,716534.6,0.010315418,-7.2245457e-06,0.0,-4.1613464,-9.07711,0.0,0.0,-9.313226e-10,0.0,0.0,-7.286883e-05,0.0,276.20593,-67092.625,90129.055,630428.75,598582.6,955470.75,964993.0,-289683.8,-268001.12,854385.25,848301.9,273.37668,0.010315418,2.8133392e-05,-1.1920929e-07,5.250412,1446054.0,32.66785,0.0,969617.5,937337.9,-874504.1,-863771.3,0.2632258,-0.3329997,0.25783765,95483.06,-1.2547178,-2.2703195,
27,894,2022-01-01 15:15:00,64.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,894,2022-01-01 11:45:00,1280.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,894,2022-01-01 13:30:00,808.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,894,2022-01-01 09:15:00,68.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,894,2022-01-01 09:30:00,68.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,894,2022-01-01 11:15:00,1312.0,,,46.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1293,2022-01-01 09:45:00,108.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1293,2022-01-01 10:00:00,132.0,,,43.25,11.5,0.20052831,0.19152921,0.051861674,0.050699323,915.6875,109.88574,0.50805664,58.655273,823650.6,0.0,2.3283064e-10,0.0,279.63422,3595.5088,-0.28185853,-0.2818492,,361574.38,0.0,-1.40435e-05,0.36605984,-54.9254,-17.40562,0.9690232,0.0,9.2945993e-07,1.0514632e-06,0.0,-5.198008e-05,1.0000458,282.81763,-101885.0,98895.46,634567.4,933059.5,734622.4,1083557.2,-203699.19,-356562.1,1104704.0,938735.7,279.86514,0.9690232,0.0,0.10876453,7.3015594,1666305.2,28.980484,9.592623e-07,1061479.9,1318113.1,-956305.3,-949929.2,0.70160353,0.8846812,0.8711865,64598.72,-0.52103144,-0.73770607,
35,1293,2022-01-01 09:15:00,72.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1293,2022-01-01 12:15:00,276.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1293,2022-01-01 12:45:00,336.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1293,2022-01-01 14:00:00,210.0,,,43.25,11.5,0.20045921,0.19142276,0.0518333,0.050656676,481.375,235.24146,0.0,283.21875,697453.4,0.0,2.3283064e-10,0.0,280.55948,3599.148,0.2271905,0.2364273,,502222.62,0.0,-8.486022e-06,0.10001069,-7.6658325,-20.171677,0.44711825,0.0,9.2945993e-07,0.0,0.0,-7.232389e-05,1.0000458,284.45215,-136252.25,98760.36,672926.9,806819.9,785958.4,938394.6,-330905.5,-399681.34,1029680.06,976068.25,282.804,0.44711825,0.0,0.039535403,7.328804,1482145.5,29.223932,9.592623e-07,1033692.1,1159043.0,-975898.7,-978653.06,0.97332513,1.2268679,1.1148953,84761.734,-0.078526914,-0.07294619,
39,1293,2022-01-01 13:00:00,312.0,,,43.25,11.5,0.20048884,0.19143245,0.0518333,0.050670892,812.25,257.26343,0.10180664,271.78125,975254.1,0.0,2.3283064e-10,0.0,280.96515,3598.868,0.23143128,0.2573647,,874626.1,0.0,-1.7007507e-05,0.10001069,-37.62593,-19.195719,0.48648772,0.0,3.2531098e-06,1.504086e-07,0.0,-0.00012061454,1.0000458,285.74506,-226315.62,98773.18,1005684.0,1078268.8,1172460.2,1251010.5,-346551.7,-400297.94,1029680.06,969464.3,282.84335,0.48648772,0.0,0.043673515,7.2255077,1864192.0,29.15268,3.3602118e-06,1427451.4,1491491.4,-979155.75,-977871.2,0.94615304,1.2051234,1.1456985,105310.28,-0.34219545,-0.4216727,
40,1293,2022-01-01 11:30:00,324.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1293,2022-01-01 16:00:00,30.0,,,43.25,11.5,0.20041974,0.19137438,0.051819116,0.05064246,191.875,34.22046,0.0,135.92773,42536.25,0.0,2.3283064e-10,0.0,279.1268,3598.868,-0.2980363,-0.29625005,,38971.625,0.012360185,5.912152e-07,0.10034639,2.6247253,-21.918793,0.3138724,0.0,-9.313226e-10,0.0,0.0,2.7977512e-06,1.0000458,278.4916,4334.625,98777.45,71221.375,68657.75,83447.0,86632.5,-249087.03,-325794.9,1013311.2,961602.44,280.45227,0.3243099,0.0,0.038305163,7.304966,208375.0,29.239767,0.0,144112.5,141403.75,-946892.25,-948420.3,1.4506496,1.6365762,0.3946408,9228.391,0.0108911395,-0.20074642,
42,1293,2022-01-01 15:30:00,54.0,,,43.25,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
